keys,values
ego,771
effort,770
effectively,769
effective,768
effect,767
edward,766
editor,765
edit,764
edge,763
eddie,762
eat,761
easy,760
eastwood,759
east,758
easily,757
earth,756
earn,755
early film,754
early,753
ear,752
dynamic,751
dvd,750
duty,749
dump,748
dumb,747
dull,746
duke,745
dude,744
dub,743
dry,742
drug,741
drop,740
driver,739
drive,738
drink,737
dress,736
dream,735
dreadful,734
draw,733
dramatic,732
drama,731
dragon,730
drag,729
dracula,728
dozen,727
downright,726
douglas,725
doubt,724
double,723
door,722
doom,721
donald,720
dominate,719
dollar,718
doll,717
dog,716
documentary,715
doctor,714
divorce,713
disturb,712
distract,711
distance,710
display,709
disney,708
dislike,707
disgust,706
disguise,705
discussion,704
discovery,703
discover,702
disc,701
disbelief,700
disaster,699
disappointment,698
disappoint,697
disappear,696
disagree,695
dirty,694
director,693
directly,692
direction,691
direct,690
dinosaur,689
dinner,688
dimensional,687
dig,686
difficult,685
different,684
difference,683
die hard,682
die,681
dick,680
diane,679
diamond,678
dialogue,677
dialog,676
devote,675
devil,674
device,673
development,672
develop,671
determine,670
detective,669
destruction,668
destroy,667
despite,666
desperately,665
desperate,664
desire,663
design,662
deserve,661
desert,660
description,659
depth,658
depress,657
depiction,656
depict,655
depend,654
department,653
deny,652
dennis,651
demonstrate,650
demon,649
demand,648
delivery,647
deliver,646
delightful,645
delight,644
degree,643
definitely worth,642
definitely,641
define,640
defend,639
defeat,638
deeply,637
deep,636
decision,635
decide,634
decent,633
decade,632
debut,631
death,630
dear,629
dean,628
deal,627
deadly,626
dead,625
day,624
dawn,623
davis,622
david,621
dave,620
daughter,619
date,618
darkness,617
dark,616
dare,615
danny,614
daniel,613
dangerous,612
danger,611
dancer,610
dance,609
dan,608
damn,607
damage,606
daily,605
dad,604
cynical,603
cute,602
cut,601
curse,600
current,599
curious,598
cure,597
culture,596
cultural,595
cult,594
crush,593
cruel,592
crude,591
crowd,590
cross,589
criticism,588
critical,587
critic,586
crisis,585
cringe,584
criminal,583
crime,582
crew,581
creepy,580
creep,579
credit,578
credible,577
credibility,576
creature,575
creator,574
creative,573
creation,572
create,571
crazy,570
crash,569
crappy,568
crap,567
craft,566
crack,565
cowboy,564
cover,563
cousin,562
court,561
course,560
courage,559
couple,558
country,557
count,556
costume,555
cost,554
corrupt,553
correct,552
corny,551
corner,550
core,549
copy,548
cop,547
cooper,546
cool,545
cook,544
convince,543
convict,542
convey,541
conversation,540
controversial,539
control,538
contrive,537
contribute,536
contrast,535
continuity,534
continue,533
context,532
content,531
contemporary,530
contain,529
contact,528
construct,527
constantly,526
constant,525
conspiracy,524
consist,523
consider,522
consequence,521
connery,520
connection,519
connect,518
confusion,517
confuse,516
confront,515
conflict,514
condition,513
conclusion,512
concert,511
concern,510
concept,509
concentrate,508
conceive,507
computer,506
complicate,505
complex,504
completely,503
complete,502
complaint,501
complain,500
competition,499
competent,498
compel,497
comparison,496
compare,495
company,494
community,493
common,492
commit,491
commercial,490
commentary,489
comment,488
command,487
comical,486
comic book,485
comic,484
comedy,483
comedic,482
comedian,481
come close,480
come,479
combine,478
combination,477
com,476
columbo,475
colour,474
colorful,473
color,472
college,471
collection,470
collect,469
cold,468
code,467
coach,466
clue,465
club,464
clothe,463
closely,462
close,461
clip,460
climax,459
cliche,458
clich,457
clever,456
clearly,455
clear,454
clean,453
classic,452
class,451
clark,450
claim,449
civil war,448
civil,447
city,446
citizen,445
circumstance,444
circle,443
cinematography,442
cinematic,441
cinema,440
church,439
chuckle,438
chuck,437
christopher,436
christmas,435
christian,434
christ,433
chris,432
chosen,431
chop,430
choose,429
choice,428
chinese,427
china,426
chill,425
childhood,424
child,423
chief,422
chick,421
chemistry,420
cheesy,419
cheese,418
cheer,417
cheek,416
check,415
cheat,414
cheap,413
chase,412
charm,411
charlie,410
charles,409
charge,408
characterization,407
character play,406
character movie,405
character make,404
character like,403
character film,402
character development,401
character actor,400
character,399
chaplin,398
channel,397
change,396
chance,395
chan,394
challenge,393
chair,392
chain,391
cgi,390
certainly,389
certain,388
century,387
central,386
center,385
cell,384
cave,383
cause,382
catholic,381
catherine,380
category,379
catch,378
cat,377
castle,376
cast member,375
cast,374
cash,373
case,372
cartoon,371
carry,370
carpenter,369
caricature,368
carefully,367
career,366
care,365
card,364
car,363
capture,362
captivate,361
captain,360
capable,359
candy,358
cancel,357
canadian,356
campy,355
camp,354
cameron,353
camera work,352
camera,351
cameo,350
california,349
caine,348
cage,347
cable,346
buy dvd,345
buy,344
button,343
butt,342
busy,341
business,340
bush,339
bus,338
bury,337
burton,336
burt,335
burn,334
bunch,333
bully,332
bullet,331
build,330
bug,329
buff,328
budget movie,327
budget film,326
budget,325
buddy,324
buck,323
brutal,322
bruce,321
brown,320
brother,319
brook,318
broadway,317
broadcast,316
broad,315
british,314
britain,313
bring,312
brilliantly,311
brilliant,310
bright,309
briefly,308
brief,307
bridge,306
bride,305
brian,304
breathtaking,303
breath,302
breast,301
break,300
brave,299
brand,298
brain,297
brad,296
boyfriend,295
boy,294
box office,293
box,292
bother,291
bos,290
borrow,289
boring,288
boredom,287
bore,286
border,285
boot,284
book,283
bone,282
bond,281
bomb,280
bollywood,279
body,278
bobby,277
bob,276
boat,275
board,274
blue,273
blow away,272
blow,271
bloody,270
blood,269
blonde,268
blockbuster,267
block,266
blind,265
blend,264
bland,263
blame,262
blair,261
blah,260
blade,259
black white,258
black,257
bizarre,256
bitter,255
bite,254
bit,253
birthday,252
birth,251
bird,250
bind,249
billy,248
big screen,247
big fan,246
big budget,245
big,244
bible,243
betty,242
bet,241
best thing,240
best performance,239
best movie,238
best friend,237
best film,236
best,235
bergman,234
benefit,233
bend,232
ben,231
beloved,230
belong,229
bell,228
believe,227
believable,226
belief,225
behavior,224
behave,223
begin end,222
begin,221
beg,220
beer,219
bed,218
beauty,217
beautifully,216
beautiful,215
beat,214
beast,213
bear,212
beach,211
bbc,210
battle,209
batman,208
bath,207
bat,206
basis,205
basically,204
basic,203
basement,202
baseball,201
base,200
barry,199
barely,198
bare,197
barbara,196
bar,195
bank,194
bang,193
band,192
ball,191
balance,190
bag,189
badly,188
bad thing,187
bad movie,186
bad guy,185
bad good,184
bad film,183
bad bad,182
bad act,181
bad,180
background,179
backdrop,178
baby,177
awkward,176
awful,175
awesome,174
away,173
aware,172
award,171
avoid,170
average,169
available,168
authority,167
author,166
authentic,165
australian,164
australia,163
aunt,162
audience,161
attractive,160
attraction,159
attract,158
attitude,157
attention,156
attend,155
attempt,154
attack,153
attach,152
atrocious,151
atmospheric,150
atmosphere,149
assure,148
assume,147
associate,146
assistant,145
assassin,144
aspect,143
asleep,142
ask,141
aside,140
asian,139
ashamed,138
artistic,137
artist,136
arthur,135
art,134
arrive,133
arrest,132
arnold,131
army,130
arm,129
argument,128
argue,127
area,126
appropriate,125
approach,124
appreciate,123
apply,122
appearance,121
appear,120
appeal,119
apparently,118
apparent,117
appal,116
ape,115
apartment,114
apart,113
anymore,112
anybody,111
anti,110
anthony,109
answer,108
annoying,107
annoy,106
anne,105
anna,104
ann,103
anime,102
animation,101
animate,100
animal,99
angry,98
angle,97
anger,96
angel,95
andy,94
andrew,93
anderson,92
ancient,91
amuse,90
american,89
america,88
amazingly,87
amaze,86
amateurish,85
amateur,84
alter,83
alright,82
allow,81
allen,80
alive,79
alike,78
alien,77
alice,76
alex,75
albert,74
albeit,73
alan,72
ala,71
aka,70
air,69
aim,68
aid,67
ahead,66
agree,65
ago,64
agent,63
age,62
afternoon,61
african,60
africa,59
afraid,58
affect,57
affair,56
advise,55
advice,54
adventure,53
advantage,52
advance,51
adult,50
admit,49
admire,48
address,47
addition,46
addict,45
add,44
adaptation,43
adapt,42
adam,41
actually make,40
actually,39
actual,38
actress,37
actor play,36
actor actress,35
actor,34
activity,33
action sequence,32
action scene,31
action movie,30
action film,29
action,28
act movie,27
act like,26
act good,25
act bad,24
act,23
achievement,22
achieve,21
accuse,20
accurate,19
account,18
accord,17
accomplish,16
accompany,15
accidentally,14
accident,13
acceptable,12
accept,11
accent,10
academy award,9
academy,8
abuse,7
absurd,6
absorb,5
absolutely,4
absolute,3
able,2
ability,1
abandon,0
